Schulz        Hugo      SV Schaufenberg      123 Herren
Schleicher    Detlef    TSV Lahmhausen       13  Herren
Flöttman      Fritz	Sportfreunde Renntal 217 Herren
Springinsfeld Karlheinz TV Jahnstein         154 Herren
von Traben    Gesine    TV Jahnstein         26  Damen
Rasbichel     Ulla      TSV Lahmhausen       117 Damen
Schwitz       Siglinde  Sportfreunde Renntal 93  Damen
Rasbichel     Katja     TSV Lahmhausen       119 Damen
Langbein      Leni      SV Schnaufenberg     55  Damen
Zielinger     Hannes    TV Jahnstein         45  Herren
Fluschinsky   Käthe     Sportfreunde Renntal 57  Damen

